Gene_ID,Name
SMEL4.1_00g000400.1.01,Similar to SCPL34 Serine carboxypeptidase-like 34 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000410.1.01,Similar to SNRNP59 U11/U12 small nuclear ribonucleoprotein 59 kDa protein (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000420.1.01,Protein of unknown function
SMEL4.1_00g000430.1.01,Similar to Acidic endochitinase (Nicotiana tabacum OX=4097)
SMEL4.1_00g000440.1.01,Similar to Acidic endochitinase (Cucumis sativus OX=3659)
SMEL4.1_00g000450.1.01,Similar to Acidic endochitinase (Nicotiana tabacum OX=4097)
SMEL4.1_00g000460.1.01,Similar to ACD6 Protein ACCELERATED CELL DEATH 6 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000470.1.01,Protein of unknown function
SMEL4.1_00g000480.1.01,Similar to Os06g0358800 Ribonuclease 3-like protein 3 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_00g000490.1.01,Similar to XERICO Probable E3 ubiquitin-protein ligase XERICO (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000500.1.01,Similar to GIP1 GBF-interacting protein 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000510.1.01,Protein of unknown function
SMEL4.1_00g000520.1.01,Protein of unknown function
SMEL4.1_00g000530.1.01,Protein of unknown function
SMEL4.1_00g000540.1.01,Similar to COL9 Zinc finger protein CONSTANS-LIKE 9 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000550.1.01,Similar to R1A-3 Putative late blight resistance protein homolog R1A-3 (Solanum demissum OX=50514)
SMEL4.1_00g000560.1.01,Similar to RGA3 Putative disease resistance protein RGA3 (Solanum bulbocastanum OX=147425)
SMEL4.1_00g000570.1.01,Similar to RDR1 RNA-dependent RNA polymerase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000580.1.01,Similar to RDR1 RNA-dependent RNA polymerase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000590.1.01,Protein of unknown function
SMEL4.1_00g000600.1.01,Similar to At5g03795 Probable glycosyltransferase At5g03795 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000610.1.01,Similar to APF2 Aspartyl protease family protein 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000620.1.01,Similar to 4-hydroxyphenylpyruvate dioxygenase (Daucus carota OX=4039)
SMEL4.1_00g000630.1.01,Protein of unknown function
SMEL4.1_00g000640.1.01,Similar to JUB1 Transcription factor JUNGBRUNNEN 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000650.1.01,Protein of unknown function
SMEL4.1_00g000660.1.01,Similar to ORP1D Oxysterol-binding protein-related protein 1D (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000670.1.01,Similar to Glycine-rich RNA-binding protein GRP1A (Sinapis alba OX=3728)
SMEL4.1_00g000680.1.01,Protein of unknown function
SMEL4.1_00g000690.1.01,"Similar to At5g06400 Putative pentatricopeptide repeat-containing protein At5g06400, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g000700.1.01,Similar to CCT5 T-complex protein 1 subunit epsilon (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000710.1.01,Similar to At1g67750 Probable pectate lyase 5 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000720.1.01,Protein of unknown function
SMEL4.1_00g000730.1.01,Protein of unknown function
SMEL4.1_00g000740.1.01,Protein of unknown function
SMEL4.1_00g000750.1.01,Protein of unknown function
SMEL4.1_00g000760.1.01,Similar to PFP-ALPHA Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha (Solanum tuberosum OX=4113)
SMEL4.1_00g000770.1.01,Similar to UVR8 Ultraviolet-B receptor UVR8 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000780.1.01,Similar to At5g47530 Cytochrome b561 and DOMON domain-containing protein At5g47530 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000790.1.01,Protein of unknown function
SMEL4.1_00g000800.1.01,"Similar to PCMP-E58 Pentatricopeptide repeat-containing protein At1g43980, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g000810.1.01,Similar to At5g47530 Cytochrome b561 and DOMON domain-containing protein At5g47530 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000820.1.01,Protein of unknown function
SMEL4.1_00g000830.1.01,Similar to CXE1 Probable carboxylesterase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000840.1.01,Similar to CBP3 Serine carboxypeptidase 3 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_00g000850.1.01,Similar to SCPL49 Serine carboxypeptidase-like 49 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000860.1.01,Protein of unknown function
SMEL4.1_00g000870.1.01,Protein of unknown function
SMEL4.1_00g000880.1.01,Protein of unknown function
SMEL4.1_00g000890.1.01,Similar to ZEU1 Thymidylate kinase (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000900.1.01,Protein of unknown function
SMEL4.1_00g000910.1.01,Similar to WNK11 Probable serine/threonine-protein kinase WNK11 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000920.1.01,Similar to ycf2-A Protein Ycf2 (Spinacia oleracea OX=3562)
SMEL4.1_00g000930.1.01,Similar to SAP Transcriptional regulator STERILE APETALA (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000940.1.01,Similar to SNE F-box protein SNE (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000950.1.01,Similar to STA1 Protein STABILIZED1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000960.1.01,"Similar to DJA6 Chaperone protein dnaJ A6, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g000970.1.01,Similar to MEMB11 Membrin-11 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000980.1.01,Similar to PAA1 Proteasome subunit alpha type-6 (Nicotiana tabacum OX=4097)
SMEL4.1_00g000990.1.01,Similar to AFC2 Serine/threonine-protein kinase AFC2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001000.1.01,Similar to SAP11 Zinc finger AN1 and C2H2 domain-containing stress-associated protein 11 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001010.1.01,Similar to Xyl2 Beta-xylosidase/alpha-L-arabinofuranosidase 2 (Medicago sativa subsp. varia OX=36902)
SMEL4.1_00g001020.1.01,"Similar to FTSH4 ATP-dependent zinc metalloprotease FTSH 4, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001030.1.01,Similar to KIN6 Kinesin-like protein KIN-6 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001040.1.01,Similar to CAR11 Protein C2-DOMAIN ABA-RELATED 11 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001050.1.01,"Similar to CLT2 Protein CLT2, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001060.1.01,"Similar to PCMP-H51 Pentatricopeptide repeat-containing protein At1g59720, chloroplastic/mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001070.1.01,"Similar to PCMP-H83 Pentatricopeptide repeat-containing protein At3g63370, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001080.1.01,"Similar to PCMP-H83 Pentatricopeptide repeat-containing protein At3g63370, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001090.1.01,Similar to R1C-3 Putative late blight resistance protein homolog R1C-3 (Solanum demissum OX=50514)
SMEL4.1_00g001100.1.01,Similar to DSPTP1 Dual specificity protein phosphatase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001110.1.01,Protein of unknown function
SMEL4.1_00g001120.1.01,Similar to PUB13 U-box domain-containing protein 13 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001130.1.01,Similar to DRP4C Dynamin-related protein 4C (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001140.1.01,Protein of unknown function
SMEL4.1_00g001150.1.01,Protein of unknown function
SMEL4.1_00g001160.1.01,Protein of unknown function
SMEL4.1_00g001170.1.01,Similar to JMJ25 Lysine-specific demethylase JMJ25 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001180.1.01,Protein of unknown function
SMEL4.1_00g001190.1.01,Similar to At5g57200 Putative clathrin assembly protein At5g57200 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001200.1.01,"Similar to ABCC2 ABC transporter D family member 2, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001210.1.01,Similar to NTF4 Mitogen-activated protein kinase homolog NTF4 (Nicotiana tabacum OX=4097)
SMEL4.1_00g001220.1.01,Protein of unknown function
SMEL4.1_00g001230.1.01,Similar to PPC6-7 Probable protein phosphatase 2C 73 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001240.1.01,Similar to HIPP45 Heavy metal-associated isoprenylated plant protein 45 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001250.1.01,Similar to CPK17 Calcium-dependent protein kinase 17 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001260.1.01,Protein of unknown function
SMEL4.1_00g001270.1.01,Similar to RSL2 Transcription factor RSL2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001280.1.01,Similar to At3g50280 Uncharacterized acetyltransferase At3g50280 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001290.1.01,Similar to CYP81C13 Cytochrome P450 81C13 (Catharanthus roseus OX=4058)
SMEL4.1_00g001300.1.01,Similar to At3g50280 Uncharacterized acetyltransferase At3g50280 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001310.1.01,Protein of unknown function
SMEL4.1_00g001320.1.01,"Similar to SPA Protein SPA, chloroplastic (Solanum lycopersicum OX=4081)"
SMEL4.1_00g001330.1.01,Similar to At4g31790 Probable diphthine methyl ester synthase (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001340.1.01,Protein of unknown function
SMEL4.1_00g001350.1.01,Similar to CAF1-11 Probable CCR4-associated factor 1 homolog 11 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001360.1.01,Similar to IQD14 Protein IQ-DOMAIN 14 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001370.1.01,Similar to PUB23 E3 ubiquitin-protein ligase PUB23 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001380.1.01,Similar to CYP71D55 Premnaspirodiene oxygenase (Hyoscyamus muticus OX=35626)
SMEL4.1_00g001390.1.01,Similar to At1g80170 Probable polygalacturonase At1g80170 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001400.1.01,Similar to CAF1-7 Probable CCR4-associated factor 1 homolog 7 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001410.1.01,Similar to FDM1 Factor of DNA methylation 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001420.1.01,Protein of unknown function
SMEL4.1_00g001430.1.01,Protein of unknown function
SMEL4.1_00g001440.1.01,"Similar to atpI ATP synthase subunit a, chloroplastic (Nicotiana sylvestris OX=4096)"
SMEL4.1_00g001450.1.01,Protein of unknown function
SMEL4.1_00g001460.1.01,"Similar to ATPA ATP synthase subunit alpha, mitochondrial (Zea mays OX=4577)"
SMEL4.1_00g001470.1.01,"Similar to ATPA ATP synthase subunit alpha, mitochondrial (Marchantia polymorpha OX=3197)"
SMEL4.1_00g001480.1.01,Similar to COX1 Cytochrome c oxidase subunit 1 (Sorghum bicolor OX=4558)
SMEL4.1_00g001490.1.01,Similar to SBTM3 Subtilisin-like protease 3 (Lotus japonicus OX=34305)
SMEL4.1_00g001500.1.01,Similar to PLP2 Patatin-like protein 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001510.1.01,Similar to PLP3 Patatin-like protein 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001520.1.01,Similar to PLP3 Patatin-like protein 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001530.1.01,"Similar to PCMP-H51 Pentatricopeptide repeat-containing protein At1g59720, chloroplastic/mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001540.1.01,Similar to IDM1 Increased DNA methylation 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001550.1.01,Similar to At3g28580 AAA-ATPase At3g28580 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001560.1.01,"Similar to At5g08650 Translation factor GUF1 homolog, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001570.1.01,Protein of unknown function
SMEL4.1_00g001580.1.01,Protein of unknown function
SMEL4.1_00g001590.1.01,Protein of unknown function
SMEL4.1_00g001600.1.01,Similar to NDL1 Protein NDL1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001610.1.01,Protein of unknown function
SMEL4.1_00g001620.1.01,Protein of unknown function
SMEL4.1_00g001630.1.01,Similar to PER47 Peroxidase 47 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001640.1.01,Similar to LKHA4 Leucine aminopeptidase (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001650.1.01,"Similar to PCMP-E58 Pentatricopeptide repeat-containing protein At1g43980, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001660.1.01,Protein of unknown function
SMEL4.1_00g001670.1.01,Protein of unknown function
SMEL4.1_00g001680.1.01,Protein of unknown function
SMEL4.1_00g001690.1.01,Protein of unknown function
SMEL4.1_00g001700.1.01,Protein of unknown function
SMEL4.1_00g001710.1.01,Protein of unknown function
SMEL4.1_00g001720.1.01,Protein of unknown function
SMEL4.1_00g001730.1.01,Protein of unknown function
SMEL4.1_00g001740.1.01,Similar to At3g07870 F-box protein At3g07870 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001750.1.01,Similar to FAN1 Fanconi-associated nuclease 1 homolog (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001760.1.01,Similar to Os06g0171800 Fanconi-associated nuclease 1 homolog (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_00g001770.1.01,Protein of unknown function
SMEL4.1_00g001780.1.01,"Similar to PCMP-E58 Pentatricopeptide repeat-containing protein At1g43980, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001790.1.01,Similar to REM9 B3 domain-containing protein REM9 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001800.1.01,Similar to Glyoxysomal fatty acid beta-oxidation multifunctional protein MFP-a (Brassica napus OX=3708)
SMEL4.1_00g001810.1.01,Protein of unknown function
SMEL4.1_00g001820.1.01,Similar to STH-2 Pathogenesis-related protein STH-2 (Solanum tuberosum OX=4113)
SMEL4.1_00g001830.1.01,Protein of unknown function
SMEL4.1_00g001840.1.01,Protein of unknown function
SMEL4.1_00g001850.1.01,Similar to RCOM_1174750 CASP-like protein 1C1 (Ricinus communis OX=3988)
SMEL4.1_00g001860.1.01,Similar to AMAT Methanol O-anthraniloyltransferase (Vitis labrusca OX=103355)
SMEL4.1_00g001870.1.01,Similar to AMAT Methanol O-anthraniloyltransferase (Vitis labrusca OX=103355)
SMEL4.1_00g001880.1.01,"Similar to At1g12700 Putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001890.1.01,"Similar to At1g12700 Putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001900.1.01,"Similar to At1g62670 Pentatricopeptide repeat-containing protein At1g62670, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g001910.1.01,Protein of unknown function
SMEL4.1_00g001920.1.01,Similar to At3g47570 Probable LRR receptor-like serine/threonine-protein kinase At3g47570 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001930.1.01,Similar to Os06g0194400 B3 domain-containing protein Os06g0194400 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_00g001940.1.01,Protein of unknown function
SMEL4.1_00g001950.1.01,Similar to At4g02110 BRCT domain-containing protein At4g02110 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001960.1.01,Similar to At3g47200 UPF0481 protein At3g47200 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001970.1.01,Protein of unknown function
SMEL4.1_00g001980.1.01,Similar to REM9 B3 domain-containing protein REM9 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g001990.1.01,Protein of unknown function
SMEL4.1_00g002000.1.01,Similar to TR1 Tropinone reductase 1 (Datura stramonium OX=4076)
SMEL4.1_00g002010.1.01,"Similar to DEGP8 Protease Do-like 8, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g002020.1.01,Protein of unknown function
SMEL4.1_00g002030.1.01,Similar to HSP18.1 18.1 kDa class I heat shock protein (Fragment) (Medicago sativa OX=3879)
SMEL4.1_00g002040.1.01,Similar to JA2 NAC domain-containing protein JA2 (Solanum lycopersicum OX=4081)
SMEL4.1_00g002050.1.01,Protein of unknown function
SMEL4.1_00g002060.1.01,Protein of unknown function
SMEL4.1_00g002070.1.01,Protein of unknown function
SMEL4.1_00g002080.1.01,Similar to WRKY27 Probable WRKY transcription factor 27 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002090.1.01,Similar to WRKY27 Probable WRKY transcription factor 27 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002100.1.01,Similar to WRKY27 Probable WRKY transcription factor 27 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002110.1.01,"Similar to WHY1 Single-stranded DNA-binding protein WHY1, chloroplastic (Solanum tuberosum OX=4113)"
SMEL4.1_00g002120.1.01,Protein of unknown function
SMEL4.1_00g002130.1.01,Similar to AT59 Probable pectate lyase 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002140.1.01,"Similar to AMY3 Alpha-amylase 3, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g002150.1.01,Similar to ERF3 Ethylene-responsive transcription factor 3 (Nicotiana tabacum OX=4097)
SMEL4.1_00g002160.1.01,Similar to SUMO2 Small ubiquitin-related modifier 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002170.1.01,Protein of unknown function
SMEL4.1_00g002180.1.01,Similar to PRMT7 Protein arginine N-methyltransferase 7 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_00g002190.1.01,Protein of unknown function
SMEL4.1_00g002200.1.01,Protein of unknown function
SMEL4.1_00g002210.1.01,Protein of unknown function
SMEL4.1_00g002220.1.01,Protein of unknown function
SMEL4.1_00g002230.1.01,"Similar to AAE18 Probable acyl-activating enzyme 18, peroxisomal (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g002240.1.01,Similar to At3g23325 Uncharacterized protein At3g23325 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002250.1.01,Protein of unknown function
SMEL4.1_00g002260.1.01,Protein of unknown function
SMEL4.1_00g002270.1.01,Similar to At3g47200 UPF0481 protein At3g47200 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002280.1.01,Similar to DGK1 Diacylglycerol kinase 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002290.1.01,Protein of unknown function
SMEL4.1_00g002300.1.01,Similar to CLV2 Receptor-like protein CLAVATA2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002310.1.01,Protein of unknown function
SMEL4.1_00g002320.1.01,Similar to HCR9-0 Receptor-like protein Cf-9 homolog (Solanum lycopersicum OX=4081)
SMEL4.1_00g002330.1.01,Similar to HCR9-0 Receptor-like protein Cf-9 homolog (Solanum lycopersicum OX=4081)
SMEL4.1_00g002340.1.01,Similar to At1g35710 Probable leucine-rich repeat receptor-like protein kinase At1g35710 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002350.1.01,Protein of unknown function
SMEL4.1_00g002360.1.01,Protein of unknown function
SMEL4.1_00g002370.1.01,Similar to HSFA8 Heat stress transcription factor A-8 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002380.1.01,Similar to CYSA Sulfate/thiosulfate import ATP-binding protein cysA (Cucumis sativus OX=3659)
SMEL4.1_00g002390.1.01,Protein of unknown function
SMEL4.1_00g002400.1.01,Similar to GEK1 D-aminoacyl-tRNA deacylase (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002410.1.01,Protein of unknown function
SMEL4.1_00g002420.1.01,Protein of unknown function
SMEL4.1_00g002430.1.01,Similar to DDB2 Protein DAMAGED DNA-BINDING 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002440.1.01,Similar to DDB2 Protein DAMAGED DNA-BINDING 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002450.1.01,Protein of unknown function
SMEL4.1_00g002460.1.01,Protein of unknown function
SMEL4.1_00g002470.1.01,Similar to At4g27230 Probable histone H2A.3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002480.1.01,Similar to At4g27230 Probable histone H2A.3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002490.1.01,Similar to At4g27230 Probable histone H2A.3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002500.1.01,Similar to Os08g0427700 Probable histone H2A.3 (Oryza sativa subsp. japonica OX=39947)
SMEL4.1_00g002510.1.01,Protein of unknown function
SMEL4.1_00g002520.1.01,Protein of unknown function
SMEL4.1_00g002530.1.01,Protein of unknown function
SMEL4.1_00g002540.1.01,Similar to UGT709C2 7-deoxyloganetic acid glucosyltransferase (Catharanthus roseus OX=4058)
SMEL4.1_00g002550.1.01,Similar to R1A-6 Putative late blight resistance protein homolog R1A-6 (Solanum demissum OX=50514)
SMEL4.1_00g002560.1.01,"Similar to At2g23790 Calcium uniporter protein 2, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g002570.1.01,Protein of unknown function
SMEL4.1_00g002580.1.01,Protein of unknown function
SMEL4.1_00g002590.1.01,Protein of unknown function
SMEL4.1_00g002600.1.01,Protein of unknown function
SMEL4.1_00g002610.1.01,Similar to GRXS1 Monothiol glutaredoxin-S1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002620.1.01,Similar to At5g03100 F-box protein At5g03100 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002630.1.01,Similar to FBL25 F-box/LRR-repeat protein 25 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002640.1.01,Similar to XLG3 Extra-large guanine nucleotide-binding protein 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002650.1.01,Protein of unknown function
SMEL4.1_00g002660.1.01,Protein of unknown function
SMEL4.1_00g002670.1.01,Protein of unknown function
SMEL4.1_00g002680.1.01,Protein of unknown function
SMEL4.1_00g002690.1.01,Protein of unknown function
SMEL4.1_00g002700.1.01,Protein of unknown function
SMEL4.1_00g002710.1.01,Protein of unknown function
SMEL4.1_00g002720.1.01,Similar to EXO70H1 Exocyst complex component EXO70H1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002730.1.01,Similar to RPL35 60S ribosomal protein L35 (Euphorbia esula OX=3993)
SMEL4.1_00g002740.1.01,Similar to ALIS1 ALA-interacting subunit 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002750.1.01,Similar to At1g06550 3-hydroxyisobutyryl-CoA hydrolase-like protein 5 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002760.1.01,"Similar to rps2 30S ribosomal protein S2, chloroplastic (Nicotiana sylvestris OX=4096)"
SMEL4.1_00g002770.1.01,Similar to rpoB DNA-directed RNA polymerase subunit beta (Solanum tuberosum OX=4113)
SMEL4.1_00g002780.1.01,Protein of unknown function
SMEL4.1_00g002790.1.01,Similar to MBD9 Methyl-CpG-binding domain-containing protein 9 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002800.1.01,Similar to DI19-3 Protein DEHYDRATION-INDUCED 19 homolog 3 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002810.1.01,Similar to SYP41 Syntaxin-41 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002820.1.01,Protein of unknown function
SMEL4.1_00g002830.1.01,Similar to CTR1 Serine/threonine-protein kinase CTR1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002840.1.01,Protein of unknown function
SMEL4.1_00g002850.1.01,Similar to CLSY2 SNF2 domain-containing protein CLASSY 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g002860.1.01,Similar to ycf2-A Protein Ycf2 A (Atropa belladonna OX=33113)
SMEL4.1_00g002870.1.01,Similar to psbA Photosystem II protein D1 (Populus deltoides OX=3696)
SMEL4.1_00g002880.1.01,"Similar to rpl2-A 50S ribosomal protein L2, chloroplastic (Solanum bulbocastanum OX=147425)"
SMEL4.1_00g002890.1.01,Protein of unknown function
